FiscalYear,Town,Admissions,Unduplicated Clients,TownGeo
2012,North Haven,120,86,"North Haven, CT
(41.38864, -72.860826)"
2012,Shelton,209,158,"Shelton, CT
(41.316843, -73.092968)"
2012,Guilford,93,57,"Guilford, CT
(41.281228, -72.681651)"
2016,Berlin,88,57,"Berlin, CT
(41.626049, -72.749301)"
2015,Thompson,61,27,"Thompson, CT
(41.958546, -71.86272)"
2014,Watertown,145,93,"Watertown, CT
(41.606284, -73.11839)"
2012,Woodbury,19,15,"Woodbury, CT
(41.545058, -73.208654)"
2016,Cornwall,,,"Cornwall, CT
(41.844248, -73.33229)"
2012,Cromwell,45,27,"Cromwell, CT
(41.595859, -72.645562)"
2015,Plainfield,181,106,"Plainfield, CT
(41.67731, -71.918131)"
2014,Litchfield,59,33,"Litchfield, CT
(41.746861, -73.189234)"
2016,Colchester,153,74,"Colchester, CT
(41.57348, -72.332129)"
2014,Durham,20,12,"Durham, CT
(41.485881, -72.681864)"
2012,Vernon,101,59,"Vernon, CT
(41.818792, -72.479029)"
2013,East Hartford,272,185,"East Hartford, CT
(41.769319, -72.643785)"
2012,New Britain,663,415,"New Britain, CT
(41.667528, -72.783437)"
2015,Madison,41,34,"Madison, CT
(41.271447, -72.60086)"
2016,Cheshire,85,50,"Cheshire, CT
(41.498834, -72.901448)"
2014,Preston,20,13,"Preston, CT
(41.530948, -71.97251)"
2013,Bethany,27,15,"Bethany, CT
(41.428339, -72.994834)"
2015,Trumbull,143,88,"Trumbull, CT
(41.257379, -73.219533)"
2015,East Lyme,126,78,"East Lyme, CT
(41.36677, -72.229584)"
2012,East Haven,392,274,"East Haven, CT
(41.277971, -72.871954)"
2016,Hartland,,,"Hartland, CT
(41.991104, -72.997217)"
2013,Beacon Falls,42,27,"Beacon Falls, CT
(41.444336, -73.060658)"
2015,Groton,200,120,"Groton, CT
(41.343693, -72.07877)"
2014,Goshen,,,"Goshen, CT
(41.831925, -73.225323)"
2016,Canterbury,46,21,"Canterbury, CT
(41.698351, -71.971118)"
2016,Newtown,160,68,"Newtown, CT
(41.413516, -73.308842)"
2013,Hebron,43,25,"Hebron, CT
(41.658069, -72.366324)"
2012,Middlefield,8,8,"Middlefield, CT
(41.515997, -72.712263)"
2012,Wethersfield,99,51,"Wethersfield, CT
(41.712487, -72.663607)"
2016,Tolland,38,28,"Tolland, CT
(41.872445, -72.369671)"
2015,North Branford,100,69,"North Branford, CT
(41.324919, -72.770281)"
2012,West Hartford,151,88,"West Hartford, CT
(41.762008, -72.741807)"
2016,Waterford,122,61,"Waterford, CT
(41.342158, -72.125831)"
2015,Plymouth,164,89,"Plymouth, CT
(41.671982, -73.052909)"
2013,Wilton,18,12,"Wilton, CT
(41.19444, -73.432397)"
2015,Bridgeport,1797,1104,"Bridgeport, CT
(41.179195, -73.189476)"
2013,Salem,27,13,"Salem, CT
(41.487106, -72.274406)"
2016,Pomfret,18,12,"Pomfret, CT
(41.897524, -71.962064)"
2016,Ashford,29,15,"Ashford, CT
(41.871915, -72.124128)"
2015,Clinton,68,50,"Clinton, CT
(41.278677, -72.528067)"
2016,Norwich,500,320,"Norwich, CT
(41.524304, -72.075821)"
2012,North Branford,68,49,"North Branford, CT
(41.324919, -72.770281)"
2013,Ansonia,153,95,"Ansonia, CT
(41.34198, -73.078296)"
2014,Lisbon,0,0,"Lisbon, CT
(41.614599, -71.960584)"
2014,Middletown,389,249,"Middletown, CT
(41.544654, -72.651713)"
2015,Derby,101,70,"Derby, CT
(41.322959, -73.089594)"
2014,Simsbury,36,27,"Simsbury, CT
(41.875874, -72.801404)"
2016,Waterbury,1834,1087,"Waterbury, CT
(41.554261, -73.043069)"
2013,Stamford,348,212,"Stamford, CT
(41.051924, -73.539475)"
2012,Kent,11,11,"Kent, CT
(41.724646, -73.477079)"
2013,New London,480,262,"New London, CT
(41.355167, -72.099561)"
2016,Morris,15,9,"Morris, CT
(41.684395, -73.196691)"
2015,Pomfret,26,15,"Pomfret, CT
(41.897524, -71.962064)"
2012,New Milford,136,84,"New Milford, CT
(41.576633, -73.408713)"
2015,Hartford,2545,1394,"Hartford, CT
(41.765775, -72.673356)"
2014,Southbury,68,41,"Southbury, CT
(41.466592, -73.203497)"
2015,Morris,14,10,"Morris, CT
(41.684395, -73.196691)"
2013,Cromwell,49,28,"Cromwell, CT
(41.595859, -72.645562)"
2012,Woodstock,19,13,"Woodstock, CT
(41.950652, -71.977285)"
2013,Preston,30,22,"Preston, CT
(41.530948, -71.97251)"
2013,Norfolk,9,6,"Norfolk, CT
(41.993599, -73.201621)"
2013,Bristol,522,323,"Bristol, CT
(41.673037, -72.945791)"
2013,Plainfield,175,101,"Plainfield, CT
(41.67731, -71.918131)"
2013,Norwich,461,270,"Norwich, CT
(41.524304, -72.075821)"
